id,text,parent,isLeaf,aggrLevel,standardUnitAbbr
71,"71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TOTAL,0,2,n/a
72,72 - Iron and steel,TOTAL,0,2,n/a
73,73 - Iron or steel articles,TOTAL,0,2,n/a
74,74 - Copper and articles thereof,TOTAL,0,2,n/a
75,75 - Nickel and articles thereof,TOTAL,0,2,n/a
76,76 - Aluminium and articles thereof,TOTAL,0,2,n/a
77,77 - (Reserved for possible future use in the Harmonized System),TOTAL,0,2,n/a
78,78 - Lead and articles thereof,TOTAL,0,2,n/a
79,79 - Zinc and articles thereof,TOTAL,0,2,n/a
80,80 - Tin; articles thereof,TOTAL,0,2,n/a
81,"81 - Metals; n.e.c., cermets and articles thereof",TOTAL,0,2,n/a
82,"82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",TOTAL,0,2,n/a
83,83 - Metal; miscellaneous products of base metal,TOTAL,0,2,n/a
84,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",TOTAL,0,2,n/a
85,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",TOTAL,0,2,n/a
86,"86 - Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",TOTAL,0,2,n/a
87,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",TOTAL,0,2,n/a
88,"88 - Aircraft, spacecraft, and parts thereof",TOTAL,0,2,n/a
89,"89 - Ships, boats and floating structures",TOTAL,0,2,n/a
90,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",TOTAL,0,2,n/a
91,91 - Clocks and watches and parts thereof,TOTAL,0,2,n/a
92,92 - Musical instruments; parts and accessories of such articles,TOTAL,0,2,n/a
93,93 - Arms and ammunition; parts and accessories thereof,TOTAL,0,2,n/a
94,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",TOTAL,0,2,n/a
95,"95 - Toys, games and sports requisites; parts and accessories thereof",TOTAL,0,2,n/a
96,96 - Miscellaneous manufactured articles,TOTAL,0,2,n/a
97,97 - Works of art; collectors' pieces and antiques,TOTAL,0,2,n/a
99,99 - Commodities not specified according to kind,TOTAL,0,2,n/a
